Ticker,SimFinId,Company Name,IndustryId
A,45846,AGILENT TECHNOLOGIES INC,106001.0
AA,367153,Alcoa Corp,110004.0
AAC,939324,"AAC Holdings, Inc.",106011.0
AAL,68568,American Airlines Group Inc.,100006.0
AAMC,847094,Altisource Asset Management Corp,104001.0
AAME,450021,ATLANTIC AMERICAN CORP,104004.0
AAN,441241,AARON'S INC,100007.0
AAOI,671827,"APPLIED OPTOELECTRONICS, INC.",101004.0
AAON,919501,AAON INC,100001.0
AAP,184955,ADVANCE AUTO PARTS INC,103002.0
AAPL,111052,APPLE INC,101001.0
AAT,919944,"American Assets Trust, Inc.",109001.0
AAWW,762204,ATLAS AIR WORLDWIDE HOLDINGS INC,100010.0
AAXN,493957,"AXON ENTERPRISE, INC.",100008.0
ABAX,36105,ABAXIS INC,106001.0
ABBV,61199,AbbVie Inc.,106005.0
ABC,187024,AMERISOURCEBERGEN CORP,106014.0
ABCB,919504,Ameris Bancorp,104002.0
ABCD,358762,"CAMBIUM LEARNING GROUP, INC.",102006.0
ABD,120923,ACCO BRANDS Corp,100001.0
ABEO,953884,ABEONA THERAPEUTICS INC.,
ABG,545489,ASBURY AUTOMOTIVE GROUP INC,103005.0
ABIO,953886,"ARCA biopharma, Inc.",
ABM,199984,ABM INDUSTRIES INC /DE/,100002.0
ABMC,160965,AMERICAN BIO MEDICA CORP,106002.0
ABMD,445587,Abiomed Inc,106004.0
ABR,638468,ARBOR REALTY TRUST INC,109001.0
ABT,63877,ABBOTT LABORATORIES,106004.0
ABTL,445589,"AutoWeb, Inc.",101002.0
ABTX,953887,"Allegiance Bancshares, Inc.",104002.0
ABUS,953888,Arbutus Biopharma Corp,106002.0
AC,919941,"Associated Capital Group, Inc.",104003.0
ACA,919864,"Arcosa, Inc.",100003.0
ACAD,445591,Acadia Pharmaceuticals Inc,106002.0
ACAT,33956,ARCTIC CAT INC,103005.0
ACC,445593,American Campus Communities Inc,109001.0
ACE,378112,Chubb Limited,104006.0
ACER,1053636,Acer Therapeutics Inc.,
ACET,1154966,"Adicet Bio, Inc.",106002.0
ACET_delis,191612,ACETO CORP,106005.0
ACGL,445596,Arch Capital Group LTD,104013.0
ACHC,445598,Acadia Healthcare Company Inc,106011.0
ACI,1077533,"Albertsons Companies, Inc.",102001.0
ACIA,353923,"Acacia Communications, Inc.",101005.0
ACIW,1057787,"ACI WORLDWIDE, INC.",101003.0
ACLS,670942,AXCELIS TECHNOLOGIES INC,101004.0
ACM,445606,Aecom Technology Corp,100003.0
ACN,61372,Accenture plc,108002.0
ACPW,95192,ACTIVE POWER INC,
ACRX,113247,ACELRX PHARMACEUTICALS INC,106004.0
ACT,353702,"Actavis, Inc.",106002.0
ACU,998436,ACME UNITED CORP,
ACW,671043,ACCURIDE CORP,100012.0
ACY,696963,AEROCENTURY CORP,100007.0
ADBE,14099,Adobe Systems,101003.0
ADC,949491,AGREE REALTY CORP,
ADES,619745,"Advanced Emissions Solutions, Inc.",100001.0
ADI,65917,ANALOG DEVICES INC,101004.0
ADIL,807531,"ADIAL PHARMACEUTICALS, INC.",106002.0
ADM,66997,ARCHER DANIELS MIDLAND CO,102002.0
ADMA,976582,"ADMA BIOLOGICS, INC.",
ADNT,675558,Adient plc,103005.0
ADOM,807727,"ADOMANI, INC.",103005.0
ADP,591496,AUTOMATIC DATA PROCESSING INC,100002.0
ADPT,1147630,Adaptive Biotechnologies Corp,106002.0
ADPT_delis,118952,Adeptus Health Inc.,106002.0
ADRO,781554,"ADURO BIOTECH, INC.",106002.0
ADS,68960,ALLIANCE DATA SYSTEMS CORP,104007.0
ADSK,185035,AUTODESK INC,101003.0
ADT,54871,ADT Inc.,101001.0
ADTM,664460,"Adaptive Medias, Inc.",
ADTN,998420,ADTRAN INC,101005.0
ADUS,1023443,Addus HomeCare Corp,106011.0
ADV,1108279,Advantage Solutions Inc.,108004.0
ADVM,702608,"Adverum Biotechnologies, Inc.",106002.0
ADXS,950904,"Advaxis, Inc.",
AE,191518,"ADAMS RESOURCES & ENERGY, INC.",107005.0
AEE,68703,AMEREN CORP,105001.0
AEHR,178053,AEHR TEST SYSTEMS,101004.0
AEIS,574583,ADVANCED ENERGY INDUSTRIES INC,101001.0
AEO,173396,AMERICAN EAGLE OUTFITTERS INC,103002.0
AEP,66050,AMERICAN ELECTRIC POWER CO INC,105001.0
AEPI,210001,AEP INDUSTRIES INC,103018.0
AES,62329,AES CORP,105001.0
AET,62217,AETNA INC /PA/,106006.0
AFG,485236,AMERICAN FINANCIAL GROUP INC,104006.0
AFI,155205,"Armstrong Flooring, Inc.",110005.0
AFL,62581,AFLAC INC,104004.0
AFSI,822262,"Amtrust Financial Services, Inc.",104006.0
AGCO,365265,AGCO CORP /DE,100009.0
AGHI,996261,"Agora Holdings, Inc.",
AGI,111482,"Affinion Group, Inc.",110004.0
AGIO,737501,AGIOS PHARMACEUTICALS INC,106002.0
AGLE,640634,"Aeglea BioTherapeutics, Inc.",106002.0
AGN,61474,Allergan plc,106005.0
AGNC,445654,American Capital Agency Corp,109001.0
AGN_old,442340,Allergan Inc.,106005.0
AGO,601095,ASSURED GUARANTY LTD,104013.0
AGR,709430,"Avangrid, Inc.",105001.0
AGX,529078,ARGAN INC,100003.0
AGYS,249502,AGILYSYS INC,101003.0
AHC,652799,A. H. Belo Corp,103026.0
AHCP,654838,Anchorage International Holdings Corp.,
AHFD,774716,"Active Health Foods, Inc.",
AHH,949479,"Armada Hoffler Properties, Inc.",
AHL,700634,ASPEN INSURANCE HOLDINGS LTD,104013.0
AHPI,262963,ALLIED HEALTHCARE PRODUCTS INC,106004.0
AHS,683491,AMN HEALTHCARE SERVICES INC,100011.0
AI,939571,Arlington Asset Investment Corp.,
AIG,251769,AMERICAN INTERNATIONAL GROUP INC,104005.0
AIMC,773555,Altra Industrial Motion Corp.,100001.0
AINC,819902,Ashford Inc.,104001.0
AIR,671123,AAR CORP,100008.0
AIRI,166965,AIR INDUSTRIES GROUP,100008.0
AIT,253867,APPLIED INDUSTRIAL TECHNOLOGIES INC,100005.0
AIV,67201,APARTMENT INVESTMENT & MANAGEMENT CO,109001.0
AIZ,66661,ASSURANT INC,104005.0
AJBI,663635,"AMI JAMES BRANDS, INC.",
AJG,66898,GALLAGHER ARTHUR J & CO,104003.0
AJRD,516551,"AEROJET ROCKETDYNE HOLDINGS, INC.",100008.0
AJX,90767,Great Ajax Corp.,109001.0
AKAM,69211,AKAMAI TECHNOLOGIES INC,101003.0
AKDS,997776,"IOTA COMMUNICATIONS, INC.",
AKER,592461,"Akers Biosciences, Inc.",106003.0
AKR,664572,ACADIA REALTY TRUST,109001.0
AKRX,195622,AKORN INC,106005.0
AKS,671046,AK STEEL HOLDING CORP,110007.0
AL,182952,AIR LEASE CORP,100007.0
ALB,132877,ALBEMARLE CORP,110001.0
ALCO,798086,ALICO INC,102002.0
ALE,445686,Allete Inc,105001.0
ALEX,664573,"Alexander & Baldwin, Inc.",109001.0
ALG,128246,ALAMO GROUP INC,100009.0
ALGN,445691,Align Technology Inc,106004.0
ALGT,735180,Allegiant Travel CO,100006.0
ALJ,344561,"Alon USA Energy, Inc.",107001.0
ALJJ,374775,ALJ REGIONAL HOLDINGS INC,100002.0
ALK,65470,"ALASKA AIR GROUP, INC.",100006.0
ALKS,445699,Alkermes PLC,106002.0
ALL,68840,ALLSTATE CORP,104006.0
ALLE,69109,Allegion plc,100007.0
ALLY,510248,Ally Financial Inc.,104002.0
ALNY,325251,"ALNYLAM PHARMACEUTICALS, INC.",106002.0
ALOT,995248,"AstroNova, Inc.",
ALPN,819011,"ALPINE IMMUNE SCIENCES, INC.",106002.0
ALR,139220,ALERE INC.,106001.0
ALRM,819790,"Alarm.com Holdings, Inc.",101003.0
ALRN,815574,AILERON THERAPEUTICS INC,106002.0
ALSK,899013,ALASKA COMMUNICATIONS SYSTEMS GROUP INC,108001.0
ALSN,445706,Allison Transmission Holdings Inc,103005.0
ALT,511510,"Altimmune, Inc.",106002.0
ALTM,960885,Altus Midstream Co,
ALTMS,806793,"Alta Mesa Holdings, LP",
ALTR,686620,Altair Engineering Inc.,101003.0
ALTR_delis,442342,Altera Corp.,101004.0
ALV,104657,AUTOLIV INC,103005.0
ALX,87732,ALEXANDERS INC,109001.0
ALXN,65359,ALEXION PHARMACEUTICALS INC,106002.0
AMAT,67102,APPLIED MATERIALS INC /DE,101004.0
AMBA,50129,AMBARELLA INC,101004.0
AMC,1100848,"AMC ENTERTAINMENT HOLDINGS, INC.",103001.0
AMCI,654226,"AmeriCann, Inc.",106005.0
AMCX,445716,Amc Networks Inc,103001.0
AMD,191397,ADVANCED MICRO DEVICES INC,101004.0
AMDA,498391,AMEDICA Corp,106004.0
AME,67669,AMETEK INC/,100001.0
AMED,904598,AMEDISYS INC,106011.0
AMG,62475,"AFFILIATED MANAGERS GROUP, INC.",104001.0
AMGN,65735,AMGEN INC,106002.0
AMH,445723,American Homes 4 Rent,109001.0
AMKR,693881,"AMKOR TECHNOLOGY, INC.",101004.0
