Ticker,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash
APOG,327543,USD,2021,Q1,2021-07-01,2021-07-01,25901750.0,26275500.0,23377000.0,51880000.0,64804000.0,-15291000.0,,,,,124770000,2844000.0,-949000.0,0.0,3393000.0,-19764000.0,-46139000.0,-36657000.0,-104799000.0,24833000
APPF,959861,USD,2021,Q1,2021-05-10,2021-05-10,34322500.0,35720750.0,156899000.0,27745000.0,-150583000.0,6718000.0,,,,,40779000,-11984000.0,-100491000.0,191427000.0,53592000.0,,-97501000.0,825000.0,-106406000.0,-12035000
APPS,826035,USD,2020,Q4,2021-06-10,2021-06-10,88514000.0,96151000.0,54884000.0,7114000.0,7650000.0,-6853000.0,,,,,62795000,-9204000.0,,-28604000.0,-37808000.0,,-1650000.0,0.0,-15216000.0,9459000
APRE,1164127,USD,2021,Q1,2021-05-06,2021-05-06,21167176.0,21167176.0,-53747310.0,28610.0,8725504.0,-789957.0,,,,,-45783153,-13544.0,,,-13544.0,,,121426.0,121426.0,-44897283
APRN,978546,USD,2021,Q1,2021-05-06,2021-05-06,16257252.0,16257252.0,-41730000.0,23370000.0,9924000.0,3717000.0,,,,,-4719000,-5917000.0,,0.0,-5917000.0,,-23452000.0,32868000.0,9142000.0,-1494000
APTI,741619,USD,2018,Q3,2018-10-31,2018-10-31,43195500.0,43195500.0,-25424000.0,7832000.0,27018000.0,-3134000.0,,,,,6292000,-2953000.0,26535000.0,-39041000.0,-15459000.0,,138938000.0,35473000.0,157319000.0,148398000
APTV,378125,USD,2021,Q1,2021-05-06,2021-05-06,267130000.0,274527500.0,555000000.0,777000000.0,162000000.0,10000000.0,,,,,1504000000,-506000000.0,0.0,-44000000.0,-553000000.0,-56000000.0,-1201000000.0,0.0,-184000000.0,795000000
APU,723175,USD,2019,Q3,2019-08-06,2019-08-06,,,186741000.0,180752000.0,61436000.0,-5298000.0,,,,,423631000,-80027000.0,,-708000.0,-80735000.0,,61939000.0,0.0,-345929000.0,-3033000
APVO,819111,USD,2021,Q1,2021-05-11,2021-05-11,3678015.0,3678015.0,-27903000.0,1240000.0,1992000.0,-976000.0,,,,,-25647000,-279000.0,9090000.0,0.0,-279000.0,,35416000.0,615000.0,69920000.0,43994000
ARA,84598,USD,2020,Q3,2020-11-06,2020-11-06,32786874.0,32890136.0,34415000.0,39940000.0,13821000.0,85977000.0,,,,,174153000,-21026000.0,10867000.0,0.0,-759000.0,-18000.0,-23314000.0,924000.0,-97063000.0,76331000
ARAY,173115,USD,2021,Q3,2021-04-30,2021-04-30,91768250.0,92685750.0,4629000.0,6852000.0,18947000.0,20708000.0,,,,,51136000,-2221000.0,440000.0,0.0,-2300000.0,,-13168000.0,2988000.0,-11023000.0,38849000
ARCB,822441,USD,2021,Q1,2021-05-07,2021-05-07,25426368.0,26593424.0,92559000.0,119732000.0,10150000.0,-17047000.0,,,,,205394000,-27363000.0,,0.0,75686000.0,-8161000.0,-328887000.0,-4434000.0,-331703000.0,-50623000
ARCH,646016,USD,2021,Q1,2021-04-22,2021-04-22,15189000.0,15189000.0,-325358000.0,116041000.0,238825000.0,49319000.0,21000000.0,-18425000.0,6962000.0,39782000.0,78827000,-274889000.0,,-962000.0,-193894000.0,-600000.0,132336000.0,-11999000.0,198465000.0,83398000
ARCW,674718,USD,2019,Q3,2019-05-17,2019-05-17,23321382.0,23321382.0,-13608000.0,10300000.0,2712000.0,-378000.0,,,,,-974000,-1886000.0,,0.0,-1886000.0,,3178000.0,27000.0,3207000.0,-246000
ARE,445788,USD,2021,Q1,2021-04-26,2021-04-26,130077500.0,130465750.0,822026000.0,703521000.0,-529337000.0,-92914000.0,,,,,903296000,-4799199000.0,48773000.0,-56179000.0,-4882449000.0,-557684000.0,1118709000.0,3209173000.0,4022935000.0,46032000
AREX,919131,USD,2018,Q4,2019-04-29,2019-04-29,94581294.0,94581294.0,-19911000.0,61432000.0,-6499000.0,-278000.0,,,,,34744000,-46767000.0,,,-42764000.0,,10500000.0,58000.0,8021000.0,1000
ARG,442344,USD,2016,Q4,2017-05-06,2017-05-06,73422000.0,74377000.0,337500000.0,352747000.0,47033000.0,6655000.0,,,,,743935000,-431378000.0,,-101704000.0,-530526000.0,-175384000.0,262001000.0,-325185000.0,-208324000.0,5085000
ARLP,786231,USD,2021,Q1,2021-05-07,2021-05-07,73533794.0,73533794.0,,,,,,,,,376573000,-99773000.0,0.0,0.0,-96527000.0,-51753000.0,-271627000.0,,-275226000.0,4820000
ARMK,361112,USD,2021,Q2,2021-05-11,2021-05-11,253600750.0,252253250.0,-564340000.0,575177000.0,-28337000.0,507669000.0,,,,,490169000,-293118000.0,,-23001000.0,-340242000.0,-111511000.0,545207000.0,32251000.0,28601000.0,197047000
ARMK_old,692435,USD,2013,Q3,2013-08-07,2013-08-07,,,131995000.0,537757000.0,-35239000.0,105360000.0,,,,,739873000,-398001000.0,,131692000.0,-370282000.0,,376877000.0,-45026000.0,-372763000.0,-3172000
ARNA,826177,USD,2021,Q1,2021-05-05,2021-05-05,57155000.0,57155000.0,-422944000.0,3882000.0,40216000.0,-192000.0,,,,,-379038000,-385000.0,168184000.0,,166799000.0,,-3955000.0,458650000.0,454695000.0,242550000
ARNC,1195675,USD,2021,Q1,2021-05-04,2021-05-04,109250000.0,110000000.0,-103000000.0,254000000.0,313000000.0,-492000000.0,,,,,-28000000,-133000000.0,,25000000.0,-108000000.0,,419000000.0,,-333000000.0,-465000000
ARO,93605,USD,2015,Q3,2015-12-07,2015-12-07,79393500.0,79393500.0,-263230000.0,56493000.0,108692000.0,51610000.0,,,,,-46435000,-37203000.0,,-381000.0,-39413000.0,,137648000.0,-1491000.0,127774000.0,41180000
AROC,998457,USD,2021,Q1,2021-04-30,2021-04-30,151046750.0,151085000.0,-3089000.0,189028000.0,116461000.0,11304000.0,,,,,313704000,-54413000.0,,27640000.0,-24372000.0,-88816000.0,-192875000.0,1370000.0,-290620000.0,-1288000
ARQL,795983,USD,2019,Q3,2019-10-30,2019-10-30,112149000.0,110076250.0,-38585000.0,93000.0,5609000.0,3478000.0,,,,,-29405000,-476000.0,-43682000.0,,-44158000.0,,-170000.0,99803000.0,99584000.0,26021000
ARRS,445801,USD,2015,Q3,2015-11-06,2015-11-06,145933000.0,3276000.0,250374000.0,303918000.0,-43476000.0,-156273000.0,,,,,354543000,-89867000.0,-50574000.0,-97989000.0,-210415000.0,,-58122000.0,-9352000.0,2219000.0,146347000
ARRY,50863,USD,2019,Q3,2019-05-07,2019-05-07,214580000.0,214580000.0,-126115000.0,2142000.0,29975000.0,-22057000.0,,,,,-116055000,-1565000.0,374301000.0,,-17375000.0,,18776000.0,140144000.0,156211000.0,22781000
ARTEC,60673,USD,2017,Q1,2017-04-30,2017-04-30,201606254.0,201606254.0,-3670014.0,,3314530.0,90176.0,,,,,-265308,,,,,,232095.0,47000.0,279095.0,13787
ARTX,739639,USD,2019,Q3,2019-11-07,2019-11-07,26501622.0,26501622.0,-627732.0,3369391.0,-4922300.0,1475998.0,,,,,-704643,-687985.0,-1774166.0,0.0,-4379026.0,,5272209.0,0.0,5153560.0,69891
ARVN,947146,USD,2021,Q1,2021-05-04,2021-05-04,42052792.0,42052792.0,-138557184.0,3696680.0,37303854.0,-14218788.0,,,,,-111775438,-6075211.0,-79986508.0,,-86061719.0,,0.0,537034071.0,507799240.0,309962083
ARW,445806,USD,2021,Q1,2021-05-06,2021-05-06,76610750.0,77306500.0,743937000.0,192279000.0,34496000.0,-82270000.0,,,,,888442000,-93623000.0,0.0,-13094000.0,-103366000.0,,-331587000.0,-440217000.0,-820323000.0,26703000
ARWR,952053,USD,2021,Q2,2021-05-04,2021-05-04,102692420.0,102692420.0,-109594226.0,1134000.0,49720293.0,239414363.0,,,,,180674430,-15459712.0,-110499290.0,0.0,-75820764.0,,0.0,10871873.0,10871873.0,115725539
ASAN,1070494,USD,2020,Q4,2021-03-30,2021-03-30,106344000.0,106344000.0,-211710000.0,3486000.0,92061000.0,23293000.0,,,,,-92870000,-57332000.0,-100643000.0,,-158937000.0,,180915000.0,20468000.0,201005000.0,-50799000
ASCMA,707350,USD,2019,Q2,2019-08-07,2019-08-07,12412500.0,12441198.0,178223000.0,213866000.0,-251057000.0,-13655000.0,,,,,127377000,-12742000.0,105475000.0,0.0,-50945000.0,,-1676000.0,0.0,-50959000.0,25473000
ASGN,1059907,USD,2021,Q1,2021-05-07,2021-05-07,52750000.0,53400000.0,205200000.0,90300000.0,40399999.0,144600000.0,,,,,480499999,-26600000.0,0.0,-100700000.0,-127400000.0,,-33000000.0,13900000.0,-32200000.0,322499999
ASH,136913,USD,2021,Q2,2021-04-29,2021-04-29,61000000.0,61250000.0,154000000.0,249000000.0,-84000000.0,151000000.0,,,,,470000000,-117000000.0,0.0,23000000.0,-61000000.0,-66000000.0,-386000000.0,0.0,-458000000.0,20000000
ASNA,35533,USD,2021,Q1,2021-03-03,2021-03-03,10031000.0,10031000.0,-1097200000.0,216800000.0,482899999.0,433800001.0,,,,,36300000,22600001.0,0.0,0.0,22600001.0,,80200000.0,100000.0,59700000.0,118600001
ASPN,491354,USD,2021,Q1,2021-05-04,2021-05-04,27074947.0,27074947.0,-24890000.0,10273000.0,6215000.0,-2041000.0,,,,,-10443000,-3959000.0,0.0,,-3959000.0,,13332000.0,3124000.0,19835000.0,5433000
ASPU,652699,USD,2021,Q3,2021-03-16,2021-03-16,22781351.0,22781351.0,-8793550.0,2045523.0,7869943.0,-8321003.0,,,,,-7199087,-4224390.0,,0.0,-4258570.0,,1081792.0,2772969.0,3871088.0,-7586569
ASTC,671045,USD,2021,Q3,2021-05-14,2021-05-14,12373250.0,12373250.0,-8228000.0,403000.0,523000.0,463000.0,,,,,-6839000,-24000.0,0.0,,-24000.0,,542000.0,33555000.0,34097000.0,27234000
ASYS,819674,USD,2021,Q2,2021-05-05,2021-05-05,14104750.0,14116000.0,-1624000.0,1208000.0,552000.0,-3341000.0,,,,,-3205000,-2764000.0,,-5082000.0,-7846000.0,,-374000.0,1028000.0,654000.0,-8869000
ATHN_delis,495675,USD,2018,Q3,2018-11-09,2018-11-09,40350000.0,41325000.0,125500000.0,150000000.0,90700000.0,-27600000.0,,,,,338600000,-45200000.0,0.0,-10100000.0,-140200000.0,,0.0,18700000.0,-16700000.0,180700000
ATI,442346,USD,2021,Q1,2021-04-29,2021-04-29,126675000.0,121600000.0,-1585600000.0,142100000.0,1409600000.0,248100000.0,,,,,214200000,-129400000.0,,0.0,-128600000.0,0.0,-142800000.0,397800000.0,-182900000.0,-97300000
ATKR,368117,USD,2021,Q2,2021-04-29,2021-04-29,47062500.0,47794000.0,288318000.0,75571000.0,41447000.0,-52613000.0,,,,,352723000,-29968000.0,,-43699000.0,-71339000.0,,-80000000.0,-35985000.0,-119162000.0,167266000
