Ticker,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common)
A,45846,USD,2021,Q2,2021-06-01,2021-06-01,307250000.0,310250000.0,5817000000.0,-2705000000.0,3112000000.0,-1967000000.0,-1561000000.0,-406000000.0,,1145000000,-58000000.0,-74000000.0,1087000000,5000000.0,1087000000,-162000000.0,925000000,0.0,925000000,925000000
AA,367153,USD,2021,Q1,2021-05-05,2021-05-05,186000000.0,186500000.0,9775000000.0,-8236000000.0,1539000000.0,-890000000.0,-198000000.0,-27000000.0,-665000000.0,649000000,-274000000.0,-158000000.0,375000000,-109000000.0,266000000,-200000000.0,66000000,,-75000000,-75000000
AAL,68568,USD,2021,Q1,2021-04-22,2021-04-22,536112000.0,536112000.0,12830000000.0,-9902000000.0,2928000000.0,-12115000000.0,-279000000.0,,-1958000000.0,-9187000000,-949000000.0,-1317000000.0,-10136000000,-2220000000.0,-10136000000,2242000000.0,-7894000000,,-7894000000,-7894000000
AAP,184955,USD,2021,Q1,2021-06-02,2021-06-02,68633000.0,68900250.0,10738809000.0,-5945002000.0,4793807000.0,-3870196000.0,-3870196000.0,,,923611000,-38993000.0,-45834000.0,884618000,-48022000.0,836596000,-201233000.0,635363000,,635363000,635363000
AAPL,111052,USD,2021,Q2,2021-04-29,2021-04-29,16999126750.0,17179630250.0,325406000000.0,-195630000000.0,129776000000.0,-40873000000.0,-20712000000.0,-20161000000.0,,88903000000,725000000.0,,89628000000,-9000000.0,89628000000,-13317000000.0,76311000000,,76311000000,76311000000
ABAX,36105,USD,2017,Q4,2018-07-30,2018-07-30,22672000.0,23135000.0,244700000.0,-111091000.0,133609000.0,-94954000.0,-71622000.0,-23332000.0,,38655000,4745000.0,,43400000,0.0,43400000,-16223000.0,27177000,0.0,27177000,27177000
ABBV,61199,USD,2021,Q1,2021-05-07,2021-05-07,1739000000.0,1745750000.0,50195000000.0,-17658000000.0,32537000000.0,-19406000000.0,-12446000000.0,-6960000000.0,,13131000000,-7696000000.0,-2474000000.0,5435000000,-1268000000.0,4167000000,1000000000.0,5167000000,,5159000000,5159000000
ABC,187024,USD,2021,Q2,2021-05-05,2021-05-05,204338250.0,204667250.0,196282272000.0,-190724098000.0,5558174000.0,-3246102000.0,-2853000000.0,,-393102000.0,2312072000,-146323000.0,-140595000.0,2165749000,-6870978000.0,-4705229000,960704000.0,-3744525000,0.0,-3746521000,-3746521000
ABCD,358762,USD,2018,Q3,2018-11-01,2018-11-01,47015250.0,48196750.0,160666000.0,-44161000.0,116505000.0,-90353000.0,-71835000.0,-15585000.0,-2933000.0,26152000,-3753000.0,-3665000.0,22399000,-5413000.0,16986000,26189000.0,43175000,,43175000,43175000
ABM,199984,USD,2021,Q2,2021-06-09,2021-06-09,67050000.0,67575000.0,5868500000.0,-4941100000.0,927400000.0,-778800000.0,-553600000.0,,-225200000.0,148600000,-39000000.0,-40200000.0,109600000,177700000.0,287300000,-72800000.0,214500000,0.0,214500000,214500000
ABMC,160965,USD,2021,Q1,2021-05-20,2021-05-20,37394372.0,37394372.0,3985000.0,-2832000.0,1153000.0,-2012000.0,-1935000.0,-77000.0,,-859000,-166000.0,-168000.0,-1025000,0.0,-1025000,-2000.0,-1027000,,-1027000,-1027000
ABT,63877,USD,2021,Q1,2021-05-05,2021-05-05,1774985250.0,1788731250.0,37338000000.0,-16123000000.0,21215000000.0,-14507000000.0,-9931000000.0,-2496000000.0,-2080000000.0,6708000000,-330000000.0,-503000000.0,6378000000,-63000000.0,6378000000,-658000000.0,5720000000,4000000.0,5724000000,5724000000
ACAT,33956,USD,2016,Q3,2017-02-06,2017-02-06,13044500.0,13004500.0,508222000.0,-473275000.0,34947000.0,-119408000.0,-88006000.0,-31402000.0,,-84461000,-1308000.0,-1308000.0,-85769000,,-85769000,8318000.0,-77451000,,-77451000,-77451000
ACCO,120923,USD,2021,Q1,2021-04-28,2021-04-28,94675000.0,95500000.0,1681600000.0,-1185900000.0,495700000.0,-380599999.0,-344200000.0,,-36399999.0,115100001,-52700000.0,-42600000.0,62400001,-21200000.0,41200001,-7600000.0,33600001,-100000.0,33600001,33600001
ACET_delis,191612,USD,2019,Q2,2019-02-20,2019-02-20,35439500.0,35368500.0,682929000.0,-595793000.0,87136000.0,-145252000.0,-137061000.0,-8191000.0,,-58116000,-20984000.0,-20984000.0,-79100000,-256266000.0,-335366000,-10787000.0,-346153000,,-346153000,-346153000
ACIA,353923,USD,2020,Q4,2021-03-01,2021-03-01,41938000.0,43233000.0,583451000.0,-299351000.0,284100000.0,-194784000.0,-60386000.0,-134398000.0,,89316000,5527000.0,5598000.0,94843000,0.0,94843000,-4452000.0,90391000,,90391000,90391000
ACN,61372,USD,2021,Q3,2021-06-24,2021-06-24,635328673.0,646503112.0,47949376000.0,-32610924000.0,15338452000.0,-8130909000.0,-8130909000.0,,,7207543000,419123000.0,-29086000.0,7626666000,0.0,7626666000,-1768120000.0,5858546000,,5778490000,5778490000
ACPW,95192,USD,2016,Q4,2017-03-14,2017-03-14,23211000.0,23211000.0,0.0,0.0,0.0,-1447000.0,-1447000.0,0.0,,-1447000,1000.0,0.0,-1446000,,-1446000,0.0,-1446000,-14420000.0,-15866000,-15866000
ACRX,113247,USD,2021,Q1,2021-05-17,2021-05-17,93556794.0,93556794.0,5541000.0,-5561000.0,-20000.0,-34237000.0,-30663000.0,-3574000.0,,-34257000,-2981000.0,-3122000.0,-37238000,3832000.0,-33406000,-4000.0,-33410000,,-33410000,-33410000
ACT,353702,USD,2013,Q3,2013-10-31,2013-10-31,130250000.0,132225000.0,7648500000.0,-4227100000.0,3421400000.0,-2904500000.0,-1754400000.0,-547600000.0,-602500000.0,516900000,-44500000.0,-218700000.0,472400000,-846800000.0,-374400000,-199200000.0,-573600000,,-574000000,-574000000
ADBE,14099,USD,2021,Q1,2021-03-31,2021-03-31,480500000.0,484500000.0,13682000000.0,-1717000000.0,11965000000.0,-7211000000.0,-4770000000.0,-2276000000.0,-165000000.0,4754000000,-85000000.0,-113000000.0,4669000000,21000000.0,4690000000,876000000.0,5566000000,,5566000000,5566000000
ADI,65917,USD,2021,Q2,2021-05-19,2021-05-19,369025000.0,372461750.0,6202296000.0,-2024626000.0,4177670000.0,-2314333000.0,-710755000.0,-1602938000.0,-640000.0,1863337000,-161404000.0,-178522000.0,1701933000,1009000.0,1702942000,-142327000.0,1560615000,0.0,1560615000,1560615000
ADM,66997,USD,2021,Q1,2021-04-28,2021-04-28,561000000.0,563000000.0,68278000000.0,-63228000000.0,5050000000.0,-2772000000.0,-2772000000.0,,,2278000000,561000000.0,-282000000.0,2839000000,-507000000.0,2332000000,-248000000.0,2084000000,,2070000000,2070000000
ADPT_delis,118952,USD,2016,Q3,2016-11-09,2016-11-09,15016037.0,15016037.0,403739000.0,,403739000.0,-381284000.0,-315996000.0,,-14814000.0,22455000,-9570000.0,-7506000.0,12885000,180233000.0,193118000,-46739000.0,146379000,,84702000,84702000
ADS,68960,USD,2021,Q1,2021-05-05,2021-05-05,48325000.0,48425000.0,4224500000.0,-2075600000.0,2148900000.0,-921400000.0,-98700000.0,,-179000000.0,1227500000,-464000000.0,-464000000.0,763500000,0.0,763500000,-212300000.0,551200000,-81300000.0,469900000,469900000
ADSK,185035,USD,2021,Q1,2021-06-03,2021-06-03,219500000.0,222275000.0,3893999999.0,-347999999.0,3546000000.0,-2913699999.0,-1897100000.0,-980600000.0,-35999999.0,632300001,-44700000.0,-44700000.0,587600001,0.0,587600001,709700000.0,1297300001,,1297300001,1297300001
ADT,54871,USD,2021,Q1,2021-05-05,2021-05-05,209882000.0,398549750.0,5249739000.0,-1489708000.0,3760031000.0,-3613756000.0,-1719204000.0,,-1894552000.0,146275000,-522759000.0,-530546000.0,-376484000,-86635000.0,-463119000,83325000.0,-379794000,,-379794000,-379794000
AE,191518,USD,2021,Q1,2021-05-06,2021-05-06,4242500.0,4259250.0,994436000.0,-64100000.0,930336000.0,-912292000.0,-893139000.0,,-19153000.0,18044000,-89000.0,-89000.0,17955000,0.0,17955000,-2725000.0,15230000,0.0,15230000,15230000
AEE,68703,USD,2021,Q1,2021-05-10,2021-05-10,249000000.0,250650000.0,5920000000.0,-1315000000.0,4605000000.0,-3230000000.0,,,-1101000000.0,1375000000,-250000000.0,-426000000.0,1125000000,0.0,1125000000,-161000000.0,964000000,0.0,958000000,958000000
AEHR,178053,USD,2021,Q3,2021-04-13,2021-04-13,23256500.0,23237750.0,12735000.0,-10330000.0,2405000.0,-10029000.0,-6332000.0,-3477000.0,,-7624000,-208000.0,-52000.0,-7832000,2186000.0,-5646000,167000.0,-5479000,,-5479000,-5479000
AEO,173396,USD,2021,Q1,2021-06-02,2021-06-02,166373500.0,166373500.0,4242035000.0,-2686004000.0,1556031000.0,-1211502000.0,-1053559000.0,,-157943000.0,344529000,-24445000.0,-32970000.0,320084000,-124207000.0,195877000,-52526000.0,143351000,0.0,143351000,143351000
AEP,66050,USD,2021,Q1,2021-04-22,2021-04-22,496333665.0,497615692.0,15452100000.0,-4779400000.0,10672700000.0,-7626300000.0,,,-2706900000.0,3046400000,-1080700000.0,-1163800000.0,1965700000,269000000.0,2234700000,-48500000.0,2276200000,0.0,2279900000,2279900000
AEPI,210001,USD,2016,Q4,2017-01-17,2017-01-17,5110049.0,5139843.0,1095830000.0,-905487000.0,190343000.0,-123826000.0,-123826000.0,,,66517000,-19985000.0,-19882000.0,46532000,-10000.0,46522000,-17720000.0,28802000,-43000.0,28802000,28802000
AES,62329,USD,2021,Q1,2021-05-06,2021-05-06,665500000.0,667500000.0,9957000000.0,-7107000000.0,2850000000.0,-173000000.0,-173000000.0,,,2677000000,-883000000.0,-729000000.0,1794000000,-1617000000.0,177000000,-135000000.0,-109000000,3000000.0,-246000000,-246000000
AFI,155205,USD,2021,Q1,2021-04-30,2021-04-30,21944962.0,21988206.0,595000000.0,-514900000.0,80100000.0,-146700000.0,-146700000.0,,,-66600000,-3900000.0,-10400000.0,-70500000,46000000.0,-24500000,1300000.0,-23200000,0.0,-23200000,-23200000
AGCO,365265,USD,2021,Q1,2021-05-07,2021-05-07,75000000.0,75600000.0,9600100000.0,-7422600000.0,2177500000.0,-1430500000.0,-1014500000.0,-354000000.0,-62000000.0,747000000,-36700000.0,-15000000.0,710300000,-52500000.0,657800000,-201900000.0,504900000,,513200000,513200000
AGI,111482,USD,2017,Q1,2017-05-12,2017-05-12,,,955600000.0,-329800000.0,625800000.0,-487200000.0,-433500000.0,,-53700000.0,138600000,-108200000.0,-108200000.0,30400000,-900000.0,29500000,-6700000.0,22800000,,22000000,22000000
AGN,61474,USD,2020,Q1,2020-05-07,2020-05-07,328275000.0,328975000.0,16096200000.0,-2618400000.0,13477800000.0,-14914700000.0,-6204600000.0,-2243000000.0,-5873600000.0,-1436900000,-694900000.0,-689000000.0,-2131800000,-1998800000.0,-4130600000,1651800000.0,-2478800000,-385300000.0,-2485000000,-2485000000
AGYS,249502,USD,2020,Q4,2021-05-21,2021-05-21,23458000.0,23458000.0,137176000.0,-47800000.0,89376000.0,-107605000.0,-47469000.0,-55345000.0,-4791000.0,-18229000,-251000.0,87000.0,-18480000,-2729000.0,-21209000,208000.0,-21001000,-1345000.0,-21001000,-23608000
AHPI,262963,USD,2021,Q3,2021-05-14,2021-05-14,4013537.0,4016391.0,37771768.0,-30472255.0,7299513.0,-7719720.0,-7719720.0,,,-420207,-114509.0,-96289.0,-534716,0.0,-534716,130359.0,-404357,,-404357,-404357
AIRI,166965,USD,2021,Q1,2021-05-11,2021-05-11,31140076.0,35609700.0,50362000.0,-44234000.0,6128000.0,-7459000.0,,,,-1331000,-965000.0,-1408000.0,-2296000,2414000.0,118000,-2000.0,116000,-230000.0,-114000,-114000
AIT,253867,USD,2021,Q3,2021-04-30,2021-04-30,38757000.0,39146750.0,3065107000.0,-2184277000.0,880830000.0,-659921000.0,-659921000.0,,,220909000,-28122000.0,-31007000.0,192787000,-49528000.0,143259000,-27757000.0,115502000,,115502000,115502000
AJG,66898,USD,2021,Q1,2021-04-30,2021-04-30,192475000.0,192475000.0,7155300000.0,-1005800000.0,6149500000.0,-4961100000.0,-4427800000.0,,-533300000.0,1188400000,-194000000.0,-194000000.0,994400000,-71100000.0,923300000,-26900000.0,896400000,8700000.0,854600000,854600000
AKAM,69211,USD,2021,Q1,2021-05-07,2021-05-07,162757250.0,165714000.0,3276555000.0,-1170777000.0,2105778000.0,-1383393000.0,-1060215000.0,-280136000.0,-43042000.0,722385000,-42255000.0,-43092000.0,680130000,-33817000.0,646313000,-43528000.0,589603000,,589603000,589603000
AKRX,195622,USD,2020,Q2,2020-08-07,2020-08-07,128342500.0,128342500.0,663504000.0,-406699000.0,256805000.0,-345911000.0,-276308000.0,-38559000.0,-31044000.0,-89106000,-94457000.0,-94723000.0,-183563000,-287935000.0,-471498000,113119000.0,-358379000,0.0,-358379000,-358379000
AL,182952,USD,2021,Q1,2021-05-06,2021-05-06,113806397.0,114127041.0,1978879000.0,,1978879000.0,-895037000.0,-94276000.0,,-800761000.0,1083842000,-504328000.0,-486700000.0,579514000,-979000.0,578535000,-115330000.0,463205000,,463205000,447830000
ALB,132877,USD,2021,Q1,2021-05-05,2021-05-05,107993250.0,108512500.0,3219355000.0,-2202833000.0,1016522000.0,-478890000.0,-421137000.0,-57753000.0,,537632000,-156292000.0,-100113000.0,381340000,0.0,381340000,-58090000.0,440678000,0.0,364237000,364237000
ALG,128246,USD,2021,Q1,2021-05-06,2021-05-06,11796750.0,11858750.0,1160207000.0,-870611000.0,289596000.0,-194849000.0,-180281000.0,,-14568000.0,94747000,-15161000.0,-11633000.0,79586000,-656000.0,79586000,-21022000.0,58564000,,58564000,58564000
ALJ,344561,USD,2017,Q1,2017-05-09,2017-05-09,71075750.0,71097500.0,4214024000.0,-3872864000.0,341160000.0,-341864000.0,-194602000.0,,-147262000.0,-704000,-56694000.0,-66527000.0,-57398000,914000.0,-56484000,22985000.0,-33499000,,-39941000,-39941000
ALJJ,374775,USD,2021,Q2,2021-05-12,2021-05-12,42259250.0,45293500.0,447624000.0,-361876000.0,85748000.0,-138122000.0,-138122000.0,,,-52374000,-10153000.0,-10153000.0,-62527000,56497000.0,-6030000,448000.0,-5582000,1781000.0,-3801000,-3801000
ALK,65470,USD,2021,Q1,2021-05-06,2021-05-06,123820250.0,123494000.0,2727000000.0,-3812000000.0,-1085000000.0,-1004000000.0,-79000000.0,,-409000000.0,-2089000000,-55000000.0,-88000000.0,-2144000000,448000000.0,-1696000000,473000000.0,-1223000000,,-1223000000,-1223000000
ALLE,69109,USD,2021,Q1,2021-04-22,2021-04-22,91800000.0,92275000.0,2739500000.0,-1556400000.0,1183100000.0,-735600000.0,-633900000.0,,,447500000,-30000000.0,-50500000.0,417500000,58400000.0,475900000,-53700000.0,422200000,0.0,421900000,421900000
ALNY,325251,USD,2021,Q1,2021-04-29,2021-04-29,116069000.0,116069000.0,570943000.0,-95812000.0,475131000.0,-1279665000.0,-608518000.0,-671147000.0,,-804534000,-68695000.0,-110232000.0,-873229000,-9422000.0,-873229000,-3122000.0,-876351000,,-876351000,-876351000
ALV,104657,USD,2021,Q1,2021-04-23,2021-04-23,87325000.0,87550000.0,7843400000.0,-6469500000.0,1373900000.0,-793700000.0,-404200000.0,-379500000.0,-10000000.0,580200000,-183000000.0,-68400000.0,397200000,0.0,397200000,-126900000.0,270300000,-34700000.0,268900000,268900000
ALX,87732,USD,2021,Q1,2021-05-03,2021-05-03,5121799.0,5121799.0,201185000.0,,201185000.0,-129839000.0,-6399000.0,,-32990000.0,71346000,-19475000.0,-20771000.0,51871000,3378000.0,55249000,3000.0,55249000,0.0,55249000,55249000
ALXN,65359,USD,2021,Q1,2021-04-30,2021-04-30,219725000.0,222000000.0,6261600000.0,-567200000.0,5694400000.0,-2747200000.0,-1422900000.0,-1091100000.0,,2947200000,-63100000.0,-106000000.0,2884100000,-2376100000.0,508000000,27000000.0,535000000,,681800000,681800000
AMAT,67102,USD,2021,Q2,2021-05-27,2021-05-27,916000000.0,923500000.0,19827000000.0,-10740000000.0,9087000000.0,-3522000000.0,-1167000000.0,-2355000000.0,,5565000000,-185000000.0,-242000000.0,5380000000,-312000000.0,5068000000,-636000000.0,4432000000,,4432000000,4432000000
AMBA,50129,USD,2021,Q1,2021-06-08,2021-06-08,35144711.0,35144711.0,238478000.0,-91160000.0,147318000.0,-203005000.0,-58572000.0,-144433000.0,,-55687000,3178000.0,,-52509000,,-52509000,-2632000.0,-55141000,,-55141000,-55141000
AMD,191397,USD,2021,Q1,2021-04-28,2021-04-28,1194750000.0,1208750000.0,11422000000.0,-6306000000.0,5116000000.0,-3266000000.0,-1115000000.0,-2151000000.0,0.0,1850000000,-105000000.0,-43000000.0,1745000000,4000000.0,1749000000,1127000000.0,2883000000,-4000000.0,2883000000,2883000000
AME,67669,USD,2021,Q1,2021-05-04,2021-05-04,229803250.0,231506000.0,4553553000.0,-2961260000.0,1592293000.0,-503104000.0,-503104000.0,,54494000.0,1089189000,-85499000.0,-82268000.0,1003690000,,1003690000,-192634000.0,811056000,,811056000,811056000
AMG,62475,USD,2021,Q1,2021-05-07,2021-05-07,45200000.0,46100000.0,2430200000.0,-39100000.0,2391100000.0,-1599100000.0,-406200000.0,,-136000000.0,792000000,130899999.0,-88600000.0,922899999,13100000.0,935999999,-229600000.0,706399999,,409099999,409099999
AMGN,65735,USD,2021,Q1,2021-04-28,2021-04-28,582750000.0,586750000.0,25164000000.0,-6136000000.0,19028000000.0,-10115000000.0,-5893000000.0,-4222000000.0,221000000.0,8913000000,-943000000.0,-1201000000.0,7970000000,,7970000000,-885000000.0,7085000000,,7085000000,7085000000
AMOT,126799,USD,2021,Q1,2021-05-05,2021-05-05,14274125.0,14373500.0,375989000.0,-265388000.0,110601000.0,-87465000.0,-55254000.0,-26212000.0,-5999000.0,23136000,-3847000.0,-3523000.0,19289000,-245000.0,19044000,2491000.0,21535000,,21535000,21535000
AMP,67872,USD,2021,Q1,2021-05-10,2021-05-10,122150000.0,124200000.0,12248000000.0,,12248000000.0,-11405000000.0,-7429000000.0,,,843000000,-870000000.0,-158000000.0,-27000000,,-27000000,-38000000.0,-65000000,-1000000.0,-65000000,-65000000
AMRK,259435,USD,2021,Q3,2021-05-14,2021-05-14,7289700.0,7747200.0,7100117000.0,-6949023000.0,151094000.0,-44050000.0,-44050000.0,,,107044000,17840000.0,-1741000.0,124884000,26274000.0,151158000,-22980000.0,128178000,,126459000,126459000
AMSC,33387,USD,2020,Q4,2021-06-02,2021-06-02,23879000.0,23879000.0,87125000.0,-69671000.0,17454000.0,-37559000.0,-25322000.0,-11015000.0,-1222000.0,-20105000,-345000.0,426000.0,-20450000,-3060000.0,-23510000,832000.0,-22678000,,-22678000,-22678000
AMSWA,196458,USD,2021,Q3,2021-03-05,2021-03-05,32402500.0,32915000.0,112115000.0,-51888000.0,60227000.0,-56134000.0,-39343000.0,-16632000.0,,4093000,1257000.0,602000.0,5350000,-53000.0,5297000,285000.0,5582000,,5582000,5582000
AMT,68339,USD,2021,Q1,2021-04-29,2021-04-29,443997750.0,446219500.0,8206899999.0,-2249500000.0,5957399999.0,-2978000000.0,-743500000.0,,-1932500000.0,2979399999,-832500000.0,-750700000.0,2146899999,-62900000.0,2083999999,-158800000.0,1925199999,0.0,1920599999,1920599999
AMTD,356477,USD,2020,Q3,2020-08-06,2020-08-06,542250000.0,544250000.0,5915000000.0,,5915000000.0,-3205000000.0,-2725000000.0,,-288000000.0,2710000000,-126000000.0,-126000000.0,2584000000,-1000000.0,2583000000,-639000000.0,1944000000,,1944000000,1944000000
AMWD,77084,USD,2021,Q3,2021-02-25,2021-02-25,16962335.0,17019424.0,1669821000.0,-1349083000.0,320738000.0,-197939000.0,-197939000.0,,,122799000,-24794000.0,-24336000.0,98005000,-5593000.0,92412000,-23463000.0,68949000,,68949000,68949000
AMZN,62747,USD,2021,Q1,2021-04-30,2021-04-30,501500000.0,511750000.0,419130000000.0,-251453000000.0,167677000000.0,-139902000000.0,-30590000000.0,,1699000.0,27775000000,3288000000.0,-1186000000.0,31063000000,2000000.0,31063000000,-4275000000.0,26903000000,,26903000000,26903000000
AN,66437,USD,2021,Q1,2021-04-22,2021-04-22,86575000.0,87175000.0,43253600000.0,-39467599999.0,3786000001.0,-2667900000.0,-2469200000.0,,-198700000.0,1118100001,20500000.0,-138800000.0,1138600001,0.0,1138600001,-285100000.0,853500001,-200000.0,853300001,853300001
ANF,188522,USD,2021,Q1,2021-06-09,2021-06-09,62510750.0,63242000.0,3421430000.0,-1299236000.0,2122194000.0,-1800502000.0,-1862601000.0,,,321692000,-33509000.0,-33509000.0,288183000,-75601000.0,212582000,-34799000.0,177783000,0.0,171895000,171895000
ANSS,126145,USD,2021,Q1,2021-05-05,2021-05-05,86092500.0,87442250.0,1739538000.0,-237251000.0,1502287000.0,-989982000.0,-603400000.0,-369738000.0,-16844000.0,512305000,-4081000.0,-7837000.0,508224000,-548000.0,508224000,-48003000.0,460221000,,460221000,460221000
AON,67471,USD,2021,Q1,2021-04-30,2021-04-30,230375000.0,231500000.0,11372000000.0,-6840000000.0,4532000000.0,-1346000000.0,-1179000000.0,,-167000000.0,3186000000,-341000000.0,-323000000.0,2845000000,-193000000.0,2652000000,-493000000.0,2159000000,1000000.0,2110000000,2110000000
AOSL,175314,USD,2021,Q3,2021-05-07,2021-05-07,25530250.0,26504500.0,601988000.0,-429091000.0,172897000.0,-133111000.0,-73672000.0,-59439000.0,,39786000,-2973000.0,296000.0,36813000,600000.0,37413000,-3079000.0,34334000,,38472000,38472000
APA,254576,USD,2021,Q1,2021-05-07,2021-05-07,378000000.0,378000000.0,4835000000.0,,4835000000.0,-4386000000.0,-305000000.0,-263000000.0,-1548000000.0,735000000,-271000000.0,-271000000.0,464000000,-112000000.0,352000000,-175000000.0,177000000,0.0,94000000,17000000
APC,67564,USD,2019,Q2,2019-07-30,2019-07-30,493750000.0,493250000.0,13358000000.0,-2118000000.0,11240000000.0,-8025000000.0,-2241000000.0,-336000000.0,-4503000000.0,3215000000,-1075000000.0,-984000000.0,2140000000,-1571000000.0,569000000,-857000000.0,-288000000,5000000.0,-575000000,-575000000
APD,185217,USD,2021,Q2,2021-05-10,2021-05-10,221450000.0,222450000.0,9262500000.0,-6289300000.0,2973200000.0,-863500000.0,-785500000.0,-91600000.0,,2109700000,240600000.0,-144100000.0,2350300000,0.0,2350300000,-445000000.0,1905300000,10300000.0,1888400000,1888400000
APH,65820,USD,2021,Q1,2021-04-30,2021-04-30,596925000.0,617775000.0,9114000000.0,-6282200000.0,2831800000.0,-1034000000.0,-1034000000.0,,,1797800000,-113000000.0,-115200000.0,1684800000,-11500000.0,1673300000,-371400000.0,1301900000,,1290900000,1290900000
APIC,34899,USD,2016,Q3,2016-05-27,2016-05-27,29570250.0,29570250.0,85613000.0,-26497000.0,59116000.0,-102821000.0,-66872000.0,-35949000.0,,-43705000,-471000.0,,-44176000,,-44176000,-364000.0,-44540000,,-44540000,-44540000
APOG,327543,USD,2020,Q4,2021-04-22,2021-04-22,25955000.0,26304000.0,1230774000.0,-955084000.0,275690000.0,-180094000.0,-180094000.0,,,95596000,-2916000.0,-4408000.0,92680000,-70069000.0,22611000,-7175000.0,15436000,0.0,15436000,15436000
APTV,378125,USD,2021,Q1,2021-05-06,2021-05-06,267130000.0,274527500.0,13863000000.0,-11697000000.0,2166000000.0,-1124000000.0,-979000000.0,,-145000000.0,1042000000,-159000000.0,-161000000.0,883000000,-114000000.0,769000000,-87000000.0,555000000,0.0,527000000,476000000
ARA,84598,USD,2020,Q3,2020-11-06,2020-11-06,32786874.0,32890136.0,814098000.0,-605855000.0,208243000.0,-133661000.0,-93721000.0,,-39940000.0,74582000,-37894000.0,-41288000.0,36688000,-11892000.0,24796000,9620000.0,34416000,,-9040000,-16864000
ARAY,173115,USD,2021,Q3,2021-04-30,2021-04-30,91768250.0,92685750.0,380330000.0,-224809000.0,155521000.0,-132201000.0,-82614000.0,-49587000.0,,23320000,-17727000.0,,5593000,650000.0,6243000,-1614000.0,4629000,0.0,4629000,4629000
ARMK,361112,USD,2021,Q2,2021-05-11,2021-05-11,253600750.0,252253250.0,10407884000.0,-9945835000.0,462049000.0,-898706000.0,-323529000.0,,-575177000.0,-436657000,-400080000.0,-400080000.0,-836737000,0.0,-836737000,272397000.0,-564340000,,-563849000,-563849000
ARO,93605,USD,2015,Q3,2015-12-07,2015-12-07,79393500.0,79393500.0,1914909000.0,-1626116000.0,288793000.0,-528619000.0,-528619000.0,,,-239826000,-6016000.0,-6016000.0,-245842000,-39221000.0,-285063000,21833000.0,-263230000,,-263230000,-263230000
ARRY,50863,USD,2019,Q3,2019-05-07,2019-05-07,214580000.0,214580000.0,239573000.0,-18210000.0,221363000.0,-340321000.0,-108983000.0,-231338000.0,,-118958000,-2640000.0,-2551000.0,-121598000,-2217000.0,-123815000,-2300000.0,-126115000,,-126115000,-126115000
ARTEC,60673,USD,2017,Q1,2017-04-30,2017-04-30,201606254.0,201606254.0,690571.0,-608838.0,81733.0,-969049.0,-969049.0,,,-887316,-167668.0,-167668.0,-1054984,-2615030.0,-3670014,,-3670014,,-3670014,-3670014
ASH,136913,USD,2021,Q2,2021-04-29,2021-04-29,61000000.0,61250000.0,2333000000.0,-1607000000.0,726000000.0,-557000000.0,-412000000.0,-59000000.0,-86000000.0,169000000,-1000000.0,-9000000.0,168000000,8000000.0,176000000,-22000000.0,154000000,-15000000.0,139000000,139000000
ASNA,35533,USD,2021,Q1,2021-03-03,2021-03-03,10031000.0,10031000.0,3230600000.0,-1722900000.0,1507700000.0,-1528600000.0,-1315000000.0,,-213600000.0,-20900000,-89900000.0,-88700000.0,-110800000,-1081899999.0,-1192699999,-14400000.0,-1207099999,109900001.0,-1097199998,-1097199998
ATKR,368117,USD,2021,Q2,2021-04-29,2021-04-29,47062500.0,47794000.0,2012944000.0,-1341037000.0,671907000.0,-261773000.0,-229339000.0,,-32434000.0,410134000,-27019000.0,-35548000.0,383115000,-273000.0,382842000,-94524000.0,288318000,,288318000,288318000
ATVI,243,USD,2021,Q1,2021-05-04,2021-05-04,772500000.0,780250000.0,8573000000.0,-2333000000.0,6240000000.0,-3222000000.0,-1957000000.0,-1265000000.0,,3018000000,-109000000.0,-109000000.0,2909000000,-132000000.0,2777000000,-466000000.0,2311000000,,2311000000,2311000000
AVAV,75856,USD,2021,Q3,2021-03-10,2021-03-10,23906714.0,24260949.0,394120000.0,-236049000.0,158071000.0,-111223000.0,-58984000.0,-52239000.0,,46848000,1671000.0,1528000.0,48519000,,48519000,-5419000.0,30132000,-265000.0,29856000,29856000
AVB,66223,USD,2021,Q1,2021-05-05,2021-05-05,139823270.0,140128830.0,2250129000.0,,2250129000.0,-1606019000.0,-60375000.0,,-712717000.0,644110000,-206070000.0,-210850000.0,438040000,359801000.0,797841000,4093000.0,801934000,0.0,801882000,801882000
AVGO_old,378100,USD,2015,Q4,2015-12-17,2015-12-17,264000000.0,281000000.0,6824000000.0,-3271000000.0,3553000000.0,-1784000000.0,-486000000.0,-1049000000.0,-249000000.0,1769000000,-165000000.0,-191000000.0,1604000000,-137000000.0,1467000000,-76000000.0,1391000000,-27000000.0,1364000000,1364000000
