Ticker,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,EBITDA,Total Debt,Free Cash Flow,Gross Profit Margin,Operating Margin,Net Profit Margin,Return on Equity,Return on Assets,Free Cash Flow to Net Income,Current Ratio,Liabilities to Equity Ratio,Debt Ratio,"Earnings Per Share, Basic","Earnings Per Share, Diluted",Sales Per Share,Equity Per Share,Free Cash Flow Per Share,Dividends Per Share,Pietroski F-Score
AAME,450021,USD,2020,Q3,2020-11-10,2020-11-10,9714000.0,0,,,0.04437,0.0062,0.009290000000000001,0.0031,,,1.99889,0.0,0.05827,0.05731,9.403089999999999,6.27241,,0.01951,
AET,62217,USD,2018,Q3,2018-10-30,2018-10-30,5915000000.0,8157000000,3878000000.0,,0.0867,0.05985,0.19744,0.06418,1.0581200000000002,,2.0761700000000003,0.14285,11.18999,11.09849,186.95672,55.84611999999999,11.84032,1.99679,
AFG,485236,USD,2020,Q4,2021-02-25,2021-02-25,1235000000.0,6734000000,,,0.11835,0.09255,0.10782,0.00995,,,9.83606,0.09154,8.25254,8.20628,89.16573000000001,76.5389,,3.7655,
AFL,62581,USD,2021,Q1,2021-04-29,2021-04-29,,8088000000,,,0.23151,0.24088,0.17148,0.03481,,,3.92655,0.05114,7.810230000000001,7.78313,32.42415,45.54618,,1.12507,
AGO,601095,USD,2020,Q4,2021-02-26,2021-02-26,,1224000000,,,0.42241999999999996,0.32466,0.053989999999999996,0.02361,,,1.28695,0.07982,4.2339199999999995,4.19954,13.040939999999999,77.69591,,0.80702,
AIG,251769,USD,2020,Q4,2021-02-19,2021-02-19,6821000000.0,28103000000,,,0.06176,-0.13657,-0.08889,-0.01018,,,7.727530000000001,0.04792,-6.87097,-6.87097,50.3112,75.78084,,1.30218,
AIZ,66661,USD,2020,Q4,2021-02-19,2021-02-19,907800000.0,2252900000,845800000.0,,0.07562999999999999,0.04191,0.07105,0.00948,1.99905,,6.49814,0.050460000000000005,7.03822,6.69675,167.92573000000002,98.95255,14.069779999999998,2.88282,
ALL,68840,USD,2021,Q1,2021-05-05,2021-05-05,,7996000000,,,0.19667,0.07505,0.13213,0.02727,,,3.8451400000000002,0.0616,11.49817,11.36437,153.19853999999998,80.06170999999999,,2.53025,
ANTM,378099,USD,2021,Q1,2021-04-21,2021-04-21,8225000000.0,23234000000,14078000000.0,,0.056639999999999996,0.03782,0.13898,0.04927,2.98642,,1.8210099999999998,0.24281999999999998,18.93553,18.68781,500.62663,135.98313000000002,56.54951,3.98072,
BHF,696260,USD,2020,Q4,2021-02-24,2021-02-24,,3436000000,,,-0.16688,-0.12995,-0.06109,-0.00446,,,12.703510000000001,0.013859999999999999,-11.58878,-11.58878,89.17595,189.01776999999998,,0.46145,
CB,378112,USD,2021,Q1,2021-04-30,2021-04-30,6911000000.0,14879000000,,,0.17870999999999998,0.14584,0.09398,0.02907,,,2.2328099999999997,0.0775,12.3673,12.316139999999999,84.80057,130.91038,,3.1045700000000003,
CI,378114,USD,2020,Q4,2021-02-25,2021-02-25,11104000000.0,32919000000,11653000000.0,,0.05171,0.05268,0.16785999999999998,0.05441,2.7284,,2.0852,0.21176,22.959429999999998,22.959429999999998,435.81649000000004,136.59746,33.12923,-0.0404,
CINF,248488,USD,2021,Q1,2021-04-28,2021-04-28,3979000000.0,905000000,,,0.39515,0.31048000000000003,0.27491,0.10815,,,1.5420200000000002,0.03196,19.03045,18.845979999999997,61.292730000000006,69.22312,,2.36172,
CNA,446249,USD,2020,Q4,2021-02-09,2021-02-09,1003000000.0,2776000000,2211000000.0,,0.08725,0.06384,0.0543,0.01078,3.20435,,4.03864,0.04336,2.5405,2.53304,39.79381,46.785709999999995,8.14065,3.49779,
CNFR,847219,USD,2020,Q4,2021-03-11,2021-03-11,3703000.0,40997000,,,0.03138,0.00572,0.0134,0.00227,,,4.8901,0.15672,0.06182000000000001,0.06182000000000001,10.81209,4.61431,,0.0,
ERIE,446629,USD,2021,Q1,2021-04-29,2021-04-29,,95364000,,,0.14889000000000002,0.11782999999999999,0.25456,0.14651,,,0.73747,0.04543,6.658060000000001,5.878830000000001,56.50379,26.15504,,5.97867,
ESNT,1055099,USD,2020,Q4,2021-02-26,2021-02-26,502498000.0,321720000,810779000.0,,0.52261,0.43243000000000004,0.10693,0.07939,1.96295,,0.34694,0.06184,3.89301,3.8828400000000003,9.00256,36.406279999999995,7.641789999999999,0.6542100000000001,
ETFC,378132,USD,2020,Q2,2020-08-05,2020-08-05,1499000000.0,0,6922000000.0,,0.47976,0.29985,0.1151,0.01116,8.81783,,9.31833,0.0,3.4732300000000005,3.4667,11.58333,27.12658,30.62635,0.74332,
GL,378226,USD,2020,Q4,2021-02-25,2021-02-25,,1922804000,,,0.20756,0.15445,0.08342999999999999,0.02519,,,2.31164,0.0662,6.898619999999999,6.824669999999999,44.66565,82.68744000000001,,0.73714,
GNW,527413,USD,2020,Q4,2021-02-26,2021-02-26,1238000000.0,3548000000,,,0.14299,0.02056,0.01125,0.00168,,,5.6843900000000005,0.03355,0.35234,0.34793,17.13777,30.32067,,0.01781,
HIG,387752,USD,2021,Q1,2021-04-27,2021-04-27,3078000000.0,4353000000,,,0.11865999999999999,0.08109,0.09558,0.0228,,,3.1916700000000002,0.058660000000000004,4.72329,4.6886,58.24831,48.4835,,1.35669,
HRTG,640779,USD,2020,Q4,2021-03-09,2021-03-09,18286000.0,120998000,49414000.0,,0.017159999999999998,0.015719999999999998,0.02108,0.00446,5.29852,,3.7234300000000005,0.05791,0.33333,0.3332,21.20859,15.81013,1.76614,0.2449,
HUM,234479,USD,2021,Q1,2021-04-28,2021-04-28,5795000000.0,7609000000,,,0.06509,0.04718,0.2623,0.09948,,,1.6367200000000002,0.20337,28.32615,28.15495,600.37443,107.99251000000001,,2.53429,
L,378182,USD,2020,Q4,2021-02-09,2021-02-09,-215000000.0,10109000000,-609000000.0,,-0.07542,-0.07399,-0.04854,-0.0116,0.6541399999999999,,3.1831,0.12599000000000002,-3.3212,-3.3212,44.88799,63.7129,-2.17252,0.60288,
LNC,243942,USD,2021,Q1,2021-05-06,2021-05-06,,6594000000,,,0.05704,0.03829,0.0343,0.00183,,,17.71893,0.01798,3.48573,3.4774599999999998,91.02318000000001,101.63079,,1.61837,
MET,380562,USD,2020,Q4,2021-02-19,2021-02-19,,14996000000,,,0.1021,0.07652,0.06938,0.006529999999999999,,,9.627880000000001,0.01886,5.71822,5.68441,74.73232,82.13043,,2.0478099999999997,
MKL,205470,USD,2021,Q1,2021-04-28,2021-04-28,4131640000.0,3564949000,4217761000.0,,0.31095,0.22579000000000002,0.20694,0.06452000000000001,1.5187700000000002,,2.20742,0.08282,201.06335,200.80892,890.5005800000001,910.2268300000001,305.36932,1.33217,
MMC,85544,USD,2021,Q1,2021-04-27,2021-04-27,4109000000.0,11257000000,4513000000.0,,0.18996,0.12715,0.23395,0.06956,2.01024,,2.36317,0.34881,4.42801,4.37622,34.824459999999995,18.6075,8.90138,1.86982,
MTG,1067477,USD,2021,Q1,2021-05-05,2021-05-05,714213000.0,0,843995000.0,,0.54783,0.37498000000000004,0.09431,0.06025,1.89106,,0.56521,0.0,1.31785,1.24987,3.51441,13.973339999999999,2.49212,0.24147,
NATL,138792,USD,2016,Q3,2016-11-04,2016-11-04,,18000000,,,0.06595,0.04244,0.07049,0.013590000000000001,,,4.1866,0.00886,1.38618,1.38253,32.65863,19.66496,,0.5518,
PFG,367240,USD,2021,Q1,2021-04-29,2021-04-29,1920100000.0,4363399999,2190400000.0,,0.14770999999999998,0.1212,0.10327,0.00549,1.57108,,17.79934,0.014759999999999999,5.92322,5.877669999999999,48.86988,56.18857,7.86217,2.23616,
PGR,378203,USD,2020,Q4,2021-03-01,2021-03-01,7722000000.0,5396100000,11311399999.0,,0.17324,0.1331,0.33323,0.08857999999999999,1.99225,,2.76195,0.08417999999999999,9.707130000000001,9.66253,72.9323,28.28637,19.339029999999998,2.6975599999999997,
PRI,1055098,USD,2021,Q1,2021-05-06,2021-05-06,588450000.0,374511000,678323000.0,,0.2443,0.17661,0.21925,0.02723,1.64815,,7.051310000000001,0.02478,10.380980000000001,10.34855,58.777719999999995,47.34856,17.109389999999998,1.67572,
PRU,78741,USD,2021,Q1,2021-05-06,2021-05-06,3587000000.0,20882000000,,,0.05666,0.04503,0.046360000000000005,0.003,,,14.436229999999998,0.02302,6.88784,6.87697,152.97567,146.69447,,4.52196,
RDN,750984,USD,2020,Q3,2020-11-09,2020-11-09,,1404759000,,,0.40612,0.27924,0.09867999999999999,0.05231,,,0.8866200000000001,0.18062,2.04167,2.05974,7.311439999999999,20.68982,,0.37073,
